geonameid,name,asciiname,name_en,name_es,name_fr,name_it,name_ru,lat,lon,elevation,timezone,feature_code,is_capital,iso_a2,iso_a3,country_name,admin1_code,admin1_name,population,metro_population,pop_growth_10yr,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_precipitation,sunshine_hours_yr,mean_wind_speed,pm25,pm10,gdp_per_capita_ppp,hdi,internet_pct,life_expectancy,urban_pct,agri_pct_gdp,industry_pct_gdp,services_pct_gdp,literacy_rate,gini,co2_per_capita,hospital_beds_per_1k
3836564,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy,Сан Сальвадор де Жужуй,-24.1928,-65.29342,1217.0,America/Argentina/Jujuy,PPLA,admin1,AR,ARG,Argentina,10,Jujuy,257970,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3835869,Santiago del Estero,Santiago del Estero,Santiago del Estero,Ciudad de Santiago del Estero,Santiago del Estero,Santiago del Estero,Сантьяго-дель-Эстеро,-27.80047,-64.26285,176.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,22,Santiago del Estero,252192,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3841956,Paraná,Parana,Paraná,Paraná,Paraná,Paraná,Парана,-31.73271,-60.52897,78.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,08,Entre Rios,247139,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3843123,Neuquén,Neuquen,Neuquén,Ciudad de Neuquén,Neuquén,Neuquén,Неукен,-38.95078,-68.0592,281.0,America/Argentina/Salta,PPLA,admin1,AR,ARG,Argentina,15,Neuquen,231198,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
12076997,José C. Paz,Jose C. Paz,José C. Paz,José C. Paz,José C. Paz,José C. Paz,José C. Paz,-34.51541,-58.76813,32.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,230208,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3433899,Formosa,Formosa,Formosa,Ciudad de Formosa,Formosa,Formosa,Формоза,-26.18489,-58.17313,67.0,America/Argentina/Cordoba,PPLA,admin1,AR,ARG,Argentina,09,Formosa,222226,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3432043,La Plata,La Plata,La Plata,La Plata,La Plata,La Plata,Ла-Плата,-34.92126,-57.95442,27.0,America/Argentina/Buenos_Aires,PPLA,admin1,AR,ARG,Argentina,01,Buenos Aires,195443,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3848950,La Rioja,La Rioja,La Rioja,Ciudad de La Rioja,La Rioja,La Rioja,Ла-Риоха,-29.41328,-66.85637,493.0,America/Argentina/La_Rioja,PPLA,admin1,AR,ARG,Argentina,12,La Rioja,178872,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3837056,San Luis,San Luis,San Luis,San Luis,San Luis,San Luis,Сан-Луис,-33.2914,-66.32467,729.0,America/Argentina/San_Luis,PPLA,admin1,AR,ARG,Argentina,19,San Luis,169947,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3433360,Ituzaingó,Ituzaingo,Ituzaingó,Ituzaingó,Ituzaingó,Ituzaingó,Ituzaingó,-27.58504,-56.68707,63.0,America/Argentina/Cordoba,PPLA2,no,AR,ARG,Argentina,06,Corrientes,168419,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
